WS10M_lag1,RH,MIN_TEMP,PREC,WD_sin,SURF_PRESSURE_DIFF,AVG_TEMP,WD_cos,RH_lag1,MONOSOON_SEASON_Southwest_Monsoon,MAX_TEMP,SL_PRESSURE_lag1,CLOUD_COVER,WS10M,XGB_fnn_random
4.19,89.18,25.77,5.45,-0.9991228301,0.0500000000000113,28.9,-0.04187565373,90.98,1,28.42,1007.4,7.0,5.04,4.722440042531031
5.04,88.77,26.55,4.97,-0.9271838546,0.0499999999999971,30.1,-0.3746065934,89.18,1,29.02,1008.1,4.0,4.96,5.059353757304336
4.96,87.02,26.91,4.36,-0.9933727656,-0.0300000000000011,30.7,-0.1149371505,88.77,1,30.01,1007.9,6.0,4.32,4.545887551846098
4.32,88.45,26.88,3.23,-0.9819587127,-0.1500000000000056,30.4,-0.189095443,87.02,1,29.28,1007.7,6.0,5.03,4.9522035518933984
5.03,81.77,26.12,6.68,-0.9617413095,0.0100000000000051,30.4,-0.2739592187,88.45,1,29.69,1006.2,7.0,5.56,5.448580880550406
5.56,90.33,25.63,23.47,-0.9578224948,0.019999999999996,26.4,-0.2873605198,81.77,1,27.17,1006.5,8.0,7.38,7.0164225102360405
7.38,88.52,25.59,25.31,-0.9723699204,-0.0600000000000022,28.7,-0.2334453639,90.33,1,27.73,1006.5,7.0,6.73,6.935493019064017
6.73,86.66,25.79,0.62,-0.9449489122,0.0100000000000051,30.0,-0.327217899,88.52,1,28.35,1005.7,6.0,5.92,6.055814039023063
5.92,86.46,25.76,0.78,-0.9762960071,0.0699999999999931,30.1,-0.2164396139,86.66,1,29.11,1006.4,5.0,4.91,5.356875499979704
4.91,88.91,25.74,2.02,-0.9040825497,0.0600000000000022,29.9,-0.4273578634,86.46,1,28.98,1007.2,5.0,4.25,4.91115581399219
4.25,87.42,26.02,2.16,-0.8589598969,0.0400000000000062,30.2,-0.5120428649,88.91,1,28.76,1007.8,6.0,4.61,4.681663535643943
4.61,90.79,26.27,12.89,-0.6639262127,-0.0300000000000011,30.2,-0.7477980905,87.42,1,27.98,1007.8,6.0,4.75,5.190871759073045
4.75,89.51,25.81,19.97,-0.6142852001,0.0900000000000034,26.2,-0.7890840848,90.79,1,27.97,1007.4,8.0,6.2,5.828145936393765
6.2,85.72,25.48,5.35,-0.7815204724,0.0799999999999983,27.8,-0.6238795967,89.51,1,28.18,1008.5,5.0,5.58,5.739831160696412
5.58,87.99,25.76,3.34,-0.7384553406,-0.0100000000000051,28.4,-0.6743023876,85.72,1,27.85,1009.5,5.0,6.41,5.605169267177591
6.41,87.35,26.27,2.23,-0.8386705679,-0.0100000000000051,29.3,-0.544639035,87.99,1,28.39,1009.5,6.0,6.86,6.489255329782223
6.86,87.25,26.06,2.86,-0.8290375726,-0.0299999999999869,29.3,-0.5591929035,87.35,1,28.81,1009.5,5.0,7.12,6.782367679485251
7.12,88.49,26.21,1.82,-0.9114032766,0.039999999999992,29.4,-0.4115143586,87.25,1,28.06,1009.4,5.0,7.09,6.78620823342852
7.09,88.03,25.96,0.72,-0.905568799,-0.0499999999999971,29.4,-0.4241994227,88.49,1,27.95,1009.8,6.0,6.16,6.728192065933107
6.16,86.91,25.98,0.88,-0.8933713883,0.0300000000000011,28.8,-0.4493189986,88.03,1,28.3,1009.2,5.0,6.38,6.13730673450033
6.38,86.88,25.62,1.87,-0.9291325715,0.019999999999996,28.9,-0.3697467573,86.91,1,28.07,1009.4,5.0,6.54,6.142436895953608
6.54,87.13,25.9,3.18,-0.8987940463,-0.0600000000000022,28.2,-0.4383711468,86.88,1,28.6,1009.5,5.0,6.42,6.336845419979925
6.42,89.78,26.11,11.02,-0.7277727577,-0.0999999999999943,28.7,-0.6858183529,87.13,1,28.2,1008.1,7.0,6.89,6.784075744087329
6.89,89.31,25.47,24.03,-0.7466381823,0.0600000000000022,26.7,-0.6652303547,89.78,1,27.34,1007.4,8.0,7.18,7.041251829570786
7.18,87.22,25.18,18.86,-0.8771461637,-0.0200000000000102,27.4,-0.4802234974,89.31,1,27.7,1007.9,7.0,6.61,7.200319718544729
6.61,85.74,25.43,18.15,-0.9851093262,-0.0699999999999931,27.1,-0.1719291003,87.22,1,27.71,1007.8,7.0,7.34,6.9620729036836355
7.34,86.32,25.54,10.68,-0.9943379441,-0.0600000000000022,27.6,-0.1062640713,85.74,1,28.0,1007.4,6.0,7.02,7.010813608393914
7.02,88.75,25.54,7.57,-0.9499720515,0.0300000000000011,28.9,-0.3123349185,86.32,1,27.7,1006.9,6.0,6.42,6.7281717546578745
6.42,91.85,25.64,7.58,-0.8829475929,0.0400000000000062,28.9,-0.4694715628,88.75,1,27.36,1007.1,6.0,5.93,5.99362461888274
5.93,90.79,25.61,4.74,-0.7880107536,-0.0200000000000102,28.8,-0.6156614753,91.85,1,27.63,1007.6,6.0,6.32,5.963515899741341
6.32,90.03,25.32,11.58,-0.8712138111,0.0200000000000102,28.9,-0.4909037536,90.79,1,27.68,1007.2,6.0,6.33,6.27386429172336
6.33,90.04,24.63,16.55,-0.9278362539,0.1199999999999903,25.8,-0.3729877826,90.03,1,26.32,1007.5,7.0,8.16,5.832233814931725
