WS10M_lag1,RH,MIN_TEMP,PREC,WD_sin,SURF_PRESSURE_DIFF,AVG_TEMP,WD_cos,RH_lag1,MONOSOON_SEASON_Southwest_Monsoon,MAX_TEMP,SL_PRESSURE_lag1,CLOUD_COVER,WS10M,XGB_fnn_optuna
2.05,86.26,25.91,6.91,-0.6347305132,-0.0300000000000011,29.4,-0.7727335735,82.66,0,28.66,1009.7,5.0,2.53,2.689583446789524
2.53,83.21,25.43,9.01,-0.5764323162,-0.019999999999996,29.4,-0.8171448983,86.26,0,29.68,1010.0,6.0,2.11,2.1944794441961033
2.11,85.77,25.98,6.59,-0.8526401644,-0.0799999999999983,29.4,-0.5224985647,83.21,0,29.37,1009.4,5.0,3.41,3.124714373473682
3.41,87.69,26.58,4.68,-0.9284858269,-0.0699999999999931,30.4,-0.3713678356,85.77,0,28.88,1008.2,6.0,4.1,4.005685695025821
4.1,86.95,25.93,5.86,-0.4617486132,0.0,29.9,-0.8870108332,87.69,0,29.41,1007.6,6.0,3.13,3.5016594270307975
3.13,83.91,25.3,15.76,-0.6934018283,-0.0200000000000102,29.2,-0.7205511117,86.95,1,29.28,1007.4,7.0,3.62,3.450821268061184
3.62,87.07,25.88,16.35,-0.7760464071,-0.0600000000000022,28.6,-0.6306758074,83.91,1,28.58,1007.2,6.0,4.32,4.435349940641554
4.32,89.93,25.66,20.5,-0.8813034521,-0.0699999999999931,27.5,-0.4725507649,87.07,1,28.1,1006.0,8.0,4.84,5.345278317521792
4.84,88.21,25.73,13.52,-0.9636304532,-0.019999999999996,28.1,-0.2672383761,89.93,1,28.37,1005.9,8.0,3.58,4.102019610787253
3.58,86.42,25.91,11.17,-0.875464527,0.039999999999992,28.0,-0.4832823833,88.21,1,29.3,1005.6,8.0,3.76,3.9591503912959602
3.76,89.72,26.13,26.24,-0.9997806835,-0.0300000000000011,27.5,-0.02094241988,86.42,1,28.55,1006.7,8.0,4.44,4.533939445971572
4.44,90.98,25.95,8.09,-0.8933713883,0.1099999999999994,27.9,-0.4493189986,89.72,1,28.34,1007.3,7.0,4.19,4.425306228131571
4.19,89.18,25.77,5.45,-0.9991228301,0.0500000000000113,28.9,-0.04187565373,90.98,1,28.42,1007.4,7.0,5.04,4.396875113631207
5.04,88.77,26.55,4.97,-0.9271838546,0.0499999999999971,30.1,-0.3746065934,89.18,1,29.02,1008.1,4.0,4.96,4.978456313689448
4.96,87.02,26.91,4.36,-0.9933727656,-0.0300000000000011,30.7,-0.1149371505,88.77,1,30.01,1007.9,6.0,4.32,4.46024388257675
4.32,88.45,26.88,3.23,-0.9819587127,-0.1500000000000056,30.4,-0.189095443,87.02,1,29.28,1007.7,6.0,5.03,5.127130563811692
5.03,81.77,26.12,6.68,-0.9617413095,0.0100000000000051,30.4,-0.2739592187,88.45,1,29.69,1006.2,7.0,5.56,5.572692648493566
5.56,90.33,25.63,23.47,-0.9578224948,0.019999999999996,26.4,-0.2873605198,81.77,1,27.17,1006.5,8.0,7.38,7.3818882014085
7.38,88.52,25.59,25.31,-0.9723699204,-0.0600000000000022,28.7,-0.2334453639,90.33,1,27.73,1006.5,7.0,6.73,6.8559862698628695
6.73,86.66,25.79,0.62,-0.9449489122,0.0100000000000051,30.0,-0.327217899,88.52,1,28.35,1005.7,6.0,5.92,6.070642938466886
5.92,86.46,25.76,0.78,-0.9762960071,0.0699999999999931,30.1,-0.2164396139,86.66,1,29.11,1006.4,5.0,4.91,5.065144104126927
4.91,88.91,25.74,2.02,-0.9040825497,0.0600000000000022,29.9,-0.4273578634,86.46,1,28.98,1007.2,5.0,4.25,4.447719010857428
4.25,87.42,26.02,2.16,-0.8589598969,0.0400000000000062,30.2,-0.5120428649,88.91,1,28.76,1007.8,6.0,4.61,4.572637515495123
4.61,90.79,26.27,12.89,-0.6639262127,-0.0300000000000011,30.2,-0.7477980905,87.42,1,27.98,1007.8,6.0,4.75,4.7504295653538176
4.75,89.51,25.81,19.97,-0.6142852001,0.0900000000000034,26.2,-0.7890840848,90.79,1,27.97,1007.4,8.0,6.2,5.809820052155577
6.2,85.72,25.48,5.35,-0.7815204724,0.0799999999999983,27.8,-0.6238795967,89.51,1,28.18,1008.5,5.0,5.58,5.796230977586595
5.58,87.99,25.76,3.34,-0.7384553406,-0.0100000000000051,28.4,-0.6743023876,85.72,1,27.85,1009.5,5.0,6.41,5.99074555055761
6.41,87.35,26.27,2.23,-0.8386705679,-0.0100000000000051,29.3,-0.544639035,87.99,1,28.39,1009.5,6.0,6.86,6.570175516503718
6.86,87.25,26.06,2.86,-0.8290375726,-0.0299999999999869,29.3,-0.5591929035,87.35,1,28.81,1009.5,5.0,7.12,6.696568548354638
7.12,88.49,26.21,1.82,-0.9114032766,0.039999999999992,29.4,-0.4115143586,87.25,1,28.06,1009.4,5.0,7.09,6.908742793971705
7.09,88.03,25.96,0.72,-0.905568799,-0.0499999999999971,29.4,-0.4241994227,88.49,1,27.95,1009.8,6.0,6.16,6.497090427190218
6.16,86.91,25.98,0.88,-0.8933713883,0.0300000000000011,28.8,-0.4493189986,88.03,1,28.3,1009.2,5.0,6.38,6.4100525233031975
6.38,86.88,25.62,1.87,-0.9291325715,0.019999999999996,28.9,-0.3697467573,86.91,1,28.07,1009.4,5.0,6.54,6.264121447910211
6.54,87.13,25.9,3.18,-0.8987940463,-0.0600000000000022,28.2,-0.4383711468,86.88,1,28.6,1009.5,5.0,6.42,6.258006471034977
6.42,89.78,26.11,11.02,-0.7277727577,-0.0999999999999943,28.7,-0.6858183529,87.13,1,28.2,1008.1,7.0,6.89,6.842774853348195
6.89,89.31,25.47,24.03,-0.7466381823,0.0600000000000022,26.7,-0.6652303547,89.78,1,27.34,1007.4,8.0,7.18,7.155835093111337
7.18,87.22,25.18,18.86,-0.8771461637,-0.0200000000000102,27.4,-0.4802234974,89.31,1,27.7,1007.9,7.0,6.61,7.5138953605017855
6.61,85.74,25.43,18.15,-0.9851093262,-0.0699999999999931,27.1,-0.1719291003,87.22,1,27.71,1007.8,7.0,7.34,7.499594748224574
7.34,86.32,25.54,10.68,-0.9943379441,-0.0600000000000022,27.6,-0.1062640713,85.74,1,28.0,1007.4,6.0,7.02,6.824913885857466
7.02,88.75,25.54,7.57,-0.9499720515,0.0300000000000011,28.9,-0.3123349185,86.32,1,27.7,1006.9,6.0,6.42,6.829579906629508
6.42,91.85,25.64,7.58,-0.8829475929,0.0400000000000062,28.9,-0.4694715628,88.75,1,27.36,1007.1,6.0,5.93,5.885301019311001
5.93,90.79,25.61,4.74,-0.7880107536,-0.0200000000000102,28.8,-0.6156614753,91.85,1,27.63,1007.6,6.0,6.32,6.087574885191792
6.32,90.03,25.32,11.58,-0.8712138111,0.0200000000000102,28.9,-0.4909037536,90.79,1,27.68,1007.2,6.0,6.33,6.309339698868932
6.33,90.04,24.63,16.55,-0.9278362539,0.1199999999999903,25.8,-0.3729877826,90.03,1,26.32,1007.5,7.0,8.16,7.183723107504879
8.16,88.12,24.63,7.03,-0.9711342799,-0.039999999999992,26.9,-0.2385334576,90.04,1,27.79,1010.0,6.0,5.78,6.114335083625095
5.78,89.4,24.77,4.58,-0.9795752496,-0.0499999999999971,28.1,-0.2010779211,88.12,1,27.65,1008.8,5.0,5.67,5.550018112253847
5.67,89.21,25.21,12.53,-0.9739759673,-0.0500000000000113,28.9,-0.2266513074,89.4,1,27.97,1008.4,7.0,6.87,6.238860823217307
6.87,87.12,24.56,15.18,-0.9991943951,-0.019999999999996,26.9,-0.04013179253,89.21,1,27.08,1007.7,8.0,7.1,7.270869608543583
7.1,88.48,24.55,11.42,-0.9895257891,-0.1099999999999994,27.1,-0.144356201,87.12,1,27.3,1006.7,7.0,6.93,6.835757365173956
6.93,91.74,25.1,7.02,-0.9777832368,-0.019999999999996,28.5,-0.2096185629,88.48,1,27.62,1005.8,6.0,6.97,7.181320356998096
6.97,90.19,25.27,7.88,-0.9211854056,0.0699999999999931,28.6,-0.3891239501,91.74,1,27.62,1005.8,6.0,7.18,6.935872953403713
7.18,90.18,24.92,11.16,-0.9557930148,0.1000000000000085,28.2,-0.2940403252,90.19,1,27.36,1007.1,6.0,6.38,6.590888324207355
6.38,91.27,24.74,15.87,-0.9832549076,0.0899999999999892,26.3,-0.1822355255,90.18,1,26.23,1007.5,7.0,5.48,6.383855931541609
5.48,90.62,24.59,11.68,-0.9802711746,-0.1099999999999994,27.1,-0.1976573404,91.27,1,27.17,1008.2,6.0,5.85,5.350381367465928
5.85,89.99,24.94,9.21,-0.9762960071,0.0500000000000113,28.1,-0.2164396139,90.62,1,27.25,1007.3,6.0,6.29,6.240272700061767
6.29,88.32,24.73,5.26,-0.9822872507,0.0799999999999983,28.1,-0.1873813146,89.99,1,27.46,1008.5,7.0,6.4,6.256789987062008
6.4,90.38,25.02,9.16,-0.9537169507,-0.0100000000000051,28.4,-0.3007057995,88.32,1,27.42,1008.8,7.0,6.6,6.549456118389338
6.6,89.78,24.55,9.37,-0.9991943951,0.0300000000000011,28.6,-0.04013179253,90.38,1,26.77,1008.9,8.0,6.52,6.5596351447206205
6.52,90.2,24.8,8.29,-0.9912155403,-0.0999999999999943,27.9,-0.1322563903,89.78,1,26.98,1008.7,7.0,6.94,6.915827784607019
6.94,89.88,25.23,11.47,-0.940288127,0.039999999999992,28.6,-0.3403795502,90.2,1,27.45,1007.9,7.0,6.65,6.80592366403944
6.65,88.82,25.07,11.99,-0.8526401644,0.1700000000000017,27.2,-0.5224985647,89.88,1,27.56,1008.6,7.0,5.95,6.014150842558079
5.95,90.45,24.62,11.1,-0.9010770213,0.0499999999999971,26.4,-0.4336590846,88.82,1,27.33,1010.4,7.0,4.29,5.056931469974826
4.29,90.64,24.44,3.51,-0.8120835269,-0.039999999999992,27.9,-0.5835412114,90.45,1,27.35,1010.9,6.0,3.98,4.5631846397223494
